0	6.670172216327182	10.714855680672821 95.28074973565863	11.999662473956155 9.173039452707714	55.51365746135805 88.23936450099632	54.01196501170893 48.56621857891539	89.6764315184156
1000	12.936087180020534	12.297332308962275 83.11381504715771	10.826290731111905 17.25812075507686	49.904834822437785 90.15974229084947	56.60177076063583 51.29053927871024	88.59599793779206
2000	15.170660717454078	11.691129140970348 80.34166564639844	11.946314619342033 17.428530209154065	50.83186930933326 89.12315689992992	55.846031508627284 50.30968207161765	88.84369510707893
3000	15.909875556142778	11.714279288871179 77.25297394830885	12.09978626294334 18.87063662793097	50.661504609429066 89.30191567258684	56.62524747139919 50.82149121145934	88.92783048849432
4000	15.214820707946076	12.118516135395028 74.98441950489709	12.232508775254088 18.868597500977852	50.584930925185546 88.21395892496939	56.41069046444168 51.133122327127126	88.26098200077423
5000	15.631851892732467	11.896265127591052 71.26155855857243	11.715704078263242 20.21937170872166	50.9793622303548 87.00111345986458	55.83793277640971 50.654153921105575	87.43367200586528
6000	15.761787990629662	13.073744803392115 67.69181882693238	11.36488422052417 20.121120200480046	51.18420231131481 87.0714286426182	55.05276126134778 51.11693429956644	86.82696559151282
7000	16.252094139085354	14.696129641287829 64.66791755015592	11.436319314250715 20.55096445831264	50.71908520889697 86.90592365430763	55.57819099855741 50.37848551373834	86.38621035196259
8000	17.24822963382391	14.731373307527932 62.91986995961815	12.01492947643897 20.62866968295997	50.77872200136211 86.8925677929664	55.884257434056195 50.41794332094834	85.59078312561445
9000	16.698481498627288	14.359729250385278 60.85214406603849	11.513939224986284 21.297371056812075	50.797891972419265 86.28360047855665	56.82038915171468 51.49850672260945	85.42498432984677
10000	15.213297997242455	14.94158661640338 60.069777559104814	11.510801655452639 22.253755242357776	50.3498818183141 85.92294767166615	57.90434725807114 51.48059593885462	85.07186241502322
11000	15.533727857174672	14.855482499182013 58.14868544614291	11.464497393644624 23.014547544962152	50.88827733734343 86.1130124653057	57.27414288810798 51.20990439344013	85.12104232296137
12000	15.505952001875599	14.581360074032448 56.15231637164915	11.534829815772328 23.106831367686784	50.60687073277279 85.98840939798906	57.52415218215222 52.52500713214815	84.7164477226051
