0	8.274473844726087	18.763251014293658 83.12922674936564	9.823920420549518 14.206900305121476	51.407831320280266 88.4200058158347	51.844843186378526 46.99661228854698	88.03448010664366
1000	14.75178382659538	12.056183113245703 82.66757332474214	12.522742550002203 15.42607189399572	56.39408139993312 89.72778373652928	52.28481872004496 46.44359214537424	90.54675538688237
2000	14.552952879142376	13.129978985876983 82.53301147684452	12.22351554241062 16.04168715513253	57.732702303413454 88.65202114959786	53.67244379547317 46.38170838923307	90.3951825796847
3000	16.299352215855556	13.20739363038788 82.13368001423214	12.334077753120702 15.894882567242599	57.16456796858595 88.35606475780314	54.25986825465064 46.45171467570427	89.7467897826317
4000	15.927232727707375	13.660100088269154 79.61462774249497	11.550526866261537 15.853112132570974	58.78456451193591 88.04286294527594	55.175085063056784 43.69905563002763	90.42760992763168
5000	15.950758242678324	10.793874104208584 79.40000205671436	12.342713693516947 14.11838806708099	57.25005787570544 87.45067579387114	55.76217507382958 43.970894082551105	89.01625068691037
6000	16.365524278286404	14.020234276422745 76.76873340658739	11.00981391300895 15.206838762908705	59.23340017035918 88.7375018603458	60.92057846294964 49.55590547720194	88.96219410486202
7000	17.692818074809907	13.602581423185237 78.1536697612356	12.328792690133085 13.70179705296715	58.07969884581017 89.08334150665091	60.14766847343337 53.03463879235784	91.19730220925021
8000	16.965018759330395	12.753351135747778 80.13756759563938	14.023173882193863 12.390375043326515	58.06115943710885 88.96824557773036	57.48703548749975 54.41653394436613	91.52860224248953
9000	17.2314626754748	12.894092791410845 81.55607218044557	12.16174432746572 14.451012383213309	60.078421429078524 89.08252091093755	62.31139987288497 51.54210443069485	91.49419467559399
10000	15.566271724738826	11.062677315434184 80.4005980731329	12.793851472615147 16.67593886166176	58.959528474656736 89.36803939527235	64.64477920118574 51.141002796848	91.2195585001092
11000	14.586301519506936	11.704418644854908 79.41959596296304	14.876864447627371 17.332969321625242	56.27726564119826 89.96434952926126	64.6593059370561 48.16307823899831	89.39851019442794
12000	16.397127788905543	12.023404327048837 79.93052236540328	13.365561529037858 18.157962836014306	57.82852229105118 90.73751856350857	63.80113894772288 48.3986883085893	90.33186728452426
13000	15.342110280193468	12.574061507917119 78.95037415354643	13.529432017120525 16.238018173104038	57.40468583763365 86.93770412174756	62.71464385300811 46.820192949967065	87.59058025831706
14000	18.84553842441069	15.147513424993296 75.91698531262266	15.248789363047097 15.94891955977873	58.554713583333516 90.2030577415018	65.106421962182 47.44240976944106	88.76101164166504
15000	15.252104109450483	13.216757437164063 76.01446229541352	13.298122023154427 12.251894261695295	58.37997737890215 91.0666024482708	63.44133831651963 48.02200606715739	85.08170021199271
16000	17.432448844213166	12.441415002232654 76.28775641024588	11.457380587381897 11.075761275535575	59.41270943826808 88.35696383730362	59.249147624465294 47.164481388826395	85.30857981264558
17000	18.921412552691358	14.51419699122786 76.73849525469886	11.970332991734878 12.669686794551987	61.64359770643909 88.16547929187877	57.07343275120007 47.96616283762482	91.50260255385335
18000	16.40359957570238	13.345312742743806 76.56785325511305	13.33924863261158 12.554144327458701	60.535335421350865 86.46600313915437	58.46985506735733 50.12855982023574	88.2997820436683
19000	18.203283769125846	16.032973384615325 77.1194802795491	9.770902085706819 15.039169451986062	62.71813683323396 87.67634259384677	60.17834349496714 46.922655225613994	85.99494949878519
