0	12.10465121588167	13.625137851768335 88.05885372362984	14.497851503139639 17.236572190266166	52.34516492312609 88.9635785320049	52.32422797648659 58.533594884663515	84.03632143586404
1000	15.799208081779739	15.471470174464734 75.12127052190432	16.428999300734148 15.151444349514763	56.16217607122801 88.72548174329886	60.39769990208228 51.10292506939184	89.496871210514
2000	18.410792815903132	13.845113006917229 73.83455631967163	16.383130548780223 15.017348283122054	56.460651269856264 89.01795166723564	61.32773993719309 51.233823657230786	88.77009451672355
3000	19.583961268217713	11.736833593457568 72.52956182451378	16.057419724415247 14.737935297041398	56.92723062089875 88.43348932415358	61.614694199954265 51.01828066936773	88.02408693748457
4000	19.005634617126734	11.812097837315076 71.13997746586675	15.996528428072791 14.372102576610217	56.538106173491116 87.93955648562158	63.20712211342868 51.54744672614939	87.52750706891672
5000	18.47502159050399	10.78469838324044 69.23351391787703	15.143361641270882 15.16676922600153	56.67177935995203 87.53104598897096	63.13739551470637 51.06763978404969	86.59607337755763
6000	16.437365360387396	10.400772988444976 67.8798399528462	14.328998398479445 15.52796898658707	56.91837436681187 87.60723019069982	63.54730803319765 50.20946106783275	86.5514126933125
7000	15.235297999910706	9.979229449651617 66.05407962775429	13.80390253426828 16.481662398989616	56.88345363042681 87.71536680807739	63.40345743013505 50.43985740602171	86.42569031726322
8000	15.129240106403135	10.25955827891724 65.03955419218238	14.2500791223494 16.7084533051545	58.04862574790939 87.76537336295873	63.54031653942752 50.527872136158834	85.86874304983029
9000	15.26807757863133	11.019543302973123 63.4263892906899	14.537655399046034 16.06184251741508	58.335945769047854 87.45495349571598	65.09538181896316 51.266649651314246	85.84282157864968
10000	14.482462157595368	12.680681762148758 61.26377778645089	14.55170517311686 16.5291071903867	58.619692483260955 86.80058220961857	64.92305773086377 50.67536439498937	85.19427747030674
11000	15.022505035350674	13.79544046097791 60.931004779180725	14.66178419032486 16.44865500960604	58.52338651513005 86.9746251702212	64.52739886651568 50.64741145736607	85.64692534697808
12000	13.943906416693432	13.047050029636504 59.42278813582591	14.057673991250196 16.79331170355196	58.92261988530893 86.8473188742706	64.02877911901538 51.789989758507275	86.55757095085181
