0	9.772466700912108	6.655917755055195 93.3584803122205	9.260089470397864 13.395452649307256	55.42663036710425 89.13101359684443	57.80530566564814 50.05965204978978	89.05261230527057
1000	14.517341672567165	12.392360191904764 82.39449595778946	12.096821714888979 18.347026199207644	53.8324789128824 90.60979854857236	56.93850848959139 53.42481173146315	89.3379571236696
2000	15.131460448645361	15.310645328527544 78.30276357473862	12.505996112781304 18.761451907546952	55.041297931932384 89.42677052372044	56.30886865676248 53.890485086691115	88.39205278643904
3000	16.918749026289472	15.16131264161022 76.33466032911045	12.511533471732973 18.698533545399858	55.6156995652316 88.950349386002	57.08450388850137 52.95736613290605	88.14463782282138
4000	18.27625885436084	16.577875230166562 73.95597907600977	12.22262787683572 19.06614327355025	54.71402506771129 88.93608844024851	57.266807800759395 53.24477306462651	87.98330861867412
5000	18.89849326113311	16.795550423980835 69.8791200865573	12.181147115276682 19.162082959500538	55.37829897351702 88.16171943552278	56.77359323861703 52.956112516239656	87.59056278864962
6000	18.9651109849672	17.79354357415452 67.24449798349409	11.7931695523729 19.722228162340336	56.15625794702402 87.86183176076021	56.16004907666874 53.21131131610562	87.76738087927323
7000	19.474045152587937	18.549181064137834 65.48299793450565	12.049532591346042 20.37776017406225	55.64012826195547 87.51519698707705	55.813833776741106 53.34008920227618	87.84407565070708
8000	19.908662175873744	17.547904907240465 63.09144111258232	12.160857295223774 20.267719710812028	55.84924109839579 87.25144951518095	55.549302654739854 52.97812792718738	87.11679363855231
9000	20.264278507575078	16.42501326472012 61.391622707925464	12.109690753659669 21.384501231835902	56.52228842903499 86.9458938882308	55.327730178552144 53.178582357354784	86.64094459519214
10000	21.772076938645746	15.608193839832674 59.21157248133457	12.318849831664505 21.907373964139275	56.13970947585118 87.07855807888943	56.46194712017033 53.41398811757914	86.24051026364029
11000	23.221331723431256	16.065554690502022 58.48528087928351	11.99614966063992 22.255738020785245	56.07537249084953 87.37503513875808	56.120216612516536 53.39401656899728	85.43698571940948
12000	23.026446480028017	15.9746412430965 58.431927143095635	12.020533695443783 22.027596715946075	56.58967538451242 86.77759007749475	55.87226008445699 53.463185079624886	85.29678727039142
13000	22.601432060457356	15.612074114597219 57.47422414450247	11.750130569668023 22.271288155731476	54.954639094323156 86.27681490281076	56.875484605113165 52.87184796697051	85.72801386187327
14000	22.95061997510617	14.151189639352365 57.18285756576606	11.821480006644501 21.330944264258797	55.432078824956854 86.87883928115285	56.505698628631585 53.2118382637406	85.3346150459583
15000	22.635586637730487	13.598399781467737 57.14741814745523	11.766722792238081 21.5197918010196	55.43948241431949 86.65455423608283	56.69752316598103 53.96607779779194	85.47610940618773
16000	22.772754728885726	13.372382318078419 56.44548429912768	11.662987763156488 20.53414061039302	55.060068255884836 86.67571483219908	56.03221479226837 54.09107951699303	84.78683935697616
17000	22.026937299795076	13.568126619066206 55.52516208119889	12.089425290686997 19.575080673897123	56.311002199838235 86.96491288574884	57.23651221786972 53.19427534141621	84.60232340218722
18000	21.019383934703136	13.071576524090041 55.250198291187	11.880315305664125 20.01082367800241	56.32265807150691 86.55437629904233	57.595632928075275 53.03475034379074	84.68807442094108
