0	17.46077299144809	9.526512150041585 87.75709575914372	8.197556856494632 13.736835071335866	48.788545817502346 85.86968188681877	60.284679057202865 58.68389343877776	88.32078445020696
1000	21.355536539357946	14.56283420183299 83.30952858422208	13.10023959814241 16.70188939789013	60.83105633420154 84.35324915135021	60.2840712620472 52.779129684297956	87.16262149659298
2000	21.366754374781923	14.899840774201994 82.45712953066821	13.588831592949875 17.03213746298022	61.351589341697945 84.34771591235659	60.39675949110002 52.72458422125061	86.93656786912784
3000	22.078537199979454	15.692949234378508 80.8875787600896	14.54518060866741 16.769593330445023	62.217216305735015 83.58676978809632	60.85328702336394 52.407166287101376	86.37973163997988
4000	21.94553223161952	16.21340266760794 80.25546903388417	14.767365346702588 17.168445772011285	62.042846622157924 83.1243102957115	60.31860861635595 52.57208526973197	85.23070989819782
5000	21.64699935186839	16.369599160617184 79.17726838145931	16.16682630699423 17.25107119278356	62.32629373338822 83.12242725503756	60.50382697650318 53.98302416974624	85.10531397631259
6000	21.83867706930403	17.302175144533106 79.3449476679146	16.277699718745673 17.37584236567824	61.637263335610335 82.61936860053594	61.111902270952505 54.56031336929939	84.56856367567546
7000	22.086589171181984	17.118618387736127 79.7892821114473	16.824700013025993 18.35851544751625	60.891466048548786 82.36351900642534	61.887185655115225 54.32449050467701	84.10554931722258
8000	21.802780517901336	17.157064866321708 79.14305350199162	17.612766314075294 18.671382135384185	61.70183314749085 81.82300761815127	62.665619772071196 53.70627474141151	83.96960761081556
9000	22.701039369543874	18.19645621113151 78.99279240533473	17.760891678451358 18.542013431789325	61.02709791543293 81.91966062416745	62.59415119126744 53.49518652842583	83.34846224610547
10000	22.881466102488847	18.427656478253013 78.15352706497089	18.380189521438844 18.663675107997317	60.23587176418642 82.48118364532809	63.534523176409785 53.37551319573053	83.18208898369666
11000	22.998925539609743	18.735264455774953 78.07318518765096	19.340874162389763 17.898913370120987	59.743887172351585 82.59326998515989	63.38950192763097 54.61310411879444	82.42986898013878
12000	23.61778379631436	17.67104843143812 78.3575518263972	18.58473696413367 17.445811260806398	59.26215521037622 82.34797347169987	63.56048684797675 53.23215177207108	83.18442986004564
13000	23.109875431166376	17.856322428614064 78.34930310039547	18.821234667132593 17.367394104776757	59.08272316843889 81.64377156451364	63.02100580449115 54.30898035807437	83.43524731548224
14000	23.060601183403598	17.559338343738734 78.56366323012173	18.429536994212334 17.765894284217584	59.11894035104497 81.65060697381186	62.37982229451847 52.76419597501604	83.09184205648614
15000	23.165003956585064	17.248513562875686 79.15858671009467	18.002058388465592 18.421737901192145	58.591389966068 81.42496560598843	62.424567364658735 51.88450578622069	82.71010731633794
16000	22.67918029225525	17.632315734526944 78.29314961687625	18.197173389301973 18.442417743438497	58.15330895746403 81.41378034583407	62.5788047010252 52.315312727565406	82.89830962432781
17000	21.643876248862163	18.030071097888758 78.53799933063317	18.50552829220454 17.887122107939103	58.92653719214748 82.0569340311242	62.61001534686707 51.594949329185276	83.34808079594285
18000	21.841143833932477	18.344386878368464 78.92487755289787	18.700669441834403 17.689435766654054	58.854599259288065 82.08144345558298	63.592447789281564 52.21704270766755	83.08789473903254
19000	22.34201200755754	17.59361357154983 78.36374435432836	19.042554192912093 18.18184258887446	60.34970898156654 80.87858376889531	63.675924529265046 52.69836896163282	82.66184647434137
20000	22.74645197060557	17.06474699471327 78.71855775380604	18.687150913440973 17.426963399099403	60.81435106645154 81.46641914268382	63.41176433556309 52.69680806588623	83.2813950098171
21000	22.583237270541453	17.35720899835062 78.17263991101045	18.71201519283775 17.358466019625247	60.94080878052472 80.83981569051278	63.68444383856249 51.75022705573834	83.23732366655551
22000	22.186811297365878	18.189555312822954 78.46334231069777	19.427189659917946 17.78162614134628	61.80911004729759 80.29519672664567	63.41821007998527 51.386948963892856	82.73882669067339
23000	21.906917713887676	19.197983015263045 78.86797899531528	19.23451339684199 18.04499215699195	62.27751155088327 80.60541823521001	62.6747084872749 51.19238093537178	82.35703569693861
24000	22.49138312702021	19.205883759196784 78.29608883222002	19.37218157812374 19.08653617898299	62.57523129389763 80.10893838506975	62.34524580128065 51.32133776218743	81.26802374800835
25000	23.051143148678822	19.825445528379085 77.72743581285003	19.73770541013346 17.953732926155	62.6991583252883 80.02408328470489	62.93869008141534 52.806622615212014	81.35069690985341
26000	23.238357117155992	19.407911168234207 77.79159279346419	18.89913895365935 17.4150675815151	61.96522686150641 79.31565251529557	62.23176352264166 53.068291101040394	81.8343753738602
